484	118670
-504	112111
2816	106309
10300	101453
17912	96777
22060	92252
22876	89878
22572	90143
21632	89106
18484	82821
13060	73578
8636	67957
8328	69124
10872	74293
11788	79181
8664	81651
3508	81480
-312	79956
-1768	79648
-2048	81509
-2292	82422
-2508	78543
-2076	70691
-232	63312
3544	58511
8604	54518
12604	49782
12676	44741
7944	39305
1044	32513
-3220	25732
-1748	22688
3976	24863
9148	29548
10240	33535
7780	36052
4064	37147
-516	36255
-7284	33977
-15924	32751
-23336	33964
-26380	36359
-25024	38692
-22096	41868
-20488	46767
-20400	51796
-19160	54423
-14116	53895
-6112	50951
928	46150
4672	40036
7000	34000
10468	29451
13744	26551
13396	24704
9308	23756
4872	23914
1828	24926
-1564	25860
-6312	25416
-10036	22483
-10396	17225
-8352	11597
-6000	7795
-3400	6043
-8	4878
2832	3619
3500	3290
2860	4865
2672	7808
2068	10826
-1608	13127
-8304	14570
-14068	15418
-14844	16288
-10076	17652
-2608	19133
3712	19720
6396	18619
5756	15707
4476	11916
4832	9740
6396	12101
6964	19170
5380	27071
2428	31394
-572	31547
-2928	30083
-4552	28513
-5948	25960
-7960	21756
-10736	17074
-12984	13447
-13232	11179
-11528	9631
-9112	7854
-6668	5003
-3768	1389
8	-1127
4064	-1108
6704	560
5992	2263
1600	4282
-3720	7628
-5612	10940
-2056	11489
4852	9361
11928	7681
18180	8057
23612	8680
26184	7981
22848	7336
13720	8381
3148	10015
-4216	10330
-7188	9891
-7728	10740
-8080	13027
-8920	14785
-9536	14696
-9136	13258
-8012	11116
-7120	7916
-6304	3648
-4000	267
520	683
5376	5644
7720	12187
6584	16149
2864	16191
-2448	14192
-8416	11660
-13068	7830
-14388	2543
-12576	-1113
-9956	373
-8632	6336
-9352	12423
-12004	15150
-15476	13952
-17268	9838
-15564	4883
-11928	2423
-10028	4263
-11336	7339
-13844	6334
-15272	362
-15368	-5878
-14456	-8280
-12080	-7508
-8576	-5990
-6160	-4222
-6600	-2110
-8596	-965
-8972	-1502
-6108	-1962
-1464	-834
1992	337
2216	-608
-504	-2767
-4088	-3619
-6788	-3015
-8428	-2882
-9172	-3636
-8044	-3679
-4452	-2389
-316	-1143
1724	-1064
2304	-1935
4808	-3765
10324	-7357
15876	-12435
18796	-16818
20080	-18618
21580	-18080
22440	-16087
20744	-11872
16884	-4100
12508	5763
7444	13049
628	14147
-6720	10375
-11744	6143
-13604	3730
-14028	1799
-14184	-781
-13348	-2372
-11144	-1556
-8876	-472
-7784	-2220
-7536	-5939
-7104	-7749
-5916	-6591
-3800	-5801
-1036	-7901
1208	-10699
1884	-10367
1812	-6443
2996	-1862
5488	732
6372	1036
3040	301
-3336	-20
-8536	737
-9120	1985
-5116	2793
508	3403
4264	4676
4568	5849
2656	4714
1156	999
1524	-2126
2988	-1380
3880	3009
3652	8271
3336	12333
4424	14532
7232	14337
10000	11428
10060	6656
6540	1240
1752	-4607
-1108	-10641
-1520	-14603
-1832	-13467
-3804	-7284
-6232	-145
-6804	3869
-4972	4835
-2088	5960
732	8867
3260	11314
4904	10063
4392	4920
1612	-1112
-1004	-5027
-112	-5626
5132	-2559
11720	3892
15352	10948
14456	13654
11140	9697
8396	2947
7156	-242
6508	2217
5552	7244
3884	11582
1152	14606
-2064	16114
-3244	14792
136	10425
7084	5357
13272	2105
15688	936
15576	751
15440	782
14936	585
11996	150
6848	1090
2284	5863
-52	14406
-1112	22931
-1604	27379
-456	26973
2640	23599
5140	19364
4384	16035
1428	15227
-68	17181
1504	19841
4140	20324
5444	17158
5500	11109
5892	5011
7228	2615
8728	5472
9388	10286
8692	11492
6708	7519
4292	2508
2848	719
3052	1479
3916	1267
3640	-1276
1532	-4479
-1384	-6228
-3440	-5436
-3676	-2068
-2568	2515
-1788	5991
-3084	7118
-6812	6503
-11612	4795
-15756	1876
-18332	-1399
