cp033191_X	cp033191_Y
998.47827	0.99535500995355
998.86865	0.997365828155477
999.25909	0.979268464338139
999.6496	1.00339828276126
1000.0402	0.979268464338139
1000.4309	1.01345237377089
1000.8217	0.933019645693833
1001.2125	1.00540910096318
1001.6034	0.943073736703465
1001.9944	0.993344191751624
1002.3854	0.971225191530434
1002.7766	0.979268464338139
1003.1678	0.971225191530434
1003.5591	0.987311737145845
1003.9505	1.00540910096318
1004.3419	0.941062918501538
1004.7335	1.00741991916511
1005.1251	1.00138746455933
1005.5167	0.975246827934287
1005.9084	1.05567955601134
1006.3003	0.967203555126581
1006.6922	0.993344191751624
1007.0842	1.01747401017474
1007.4762	0.937041282097686
1007.8683	1.02752810118437
1008.2606	0.965192736924655
1008.6528	1.00741991916511
1009.0452	0.955138645915023
1009.4376	0.967203555126581
1009.8301	1.01546319197281
1010.2227	1.037582192194
1010.6154	1.0295389193863
1011.0082	1.05970119241519
1011.401	1.07779855623253
1011.7939	1.16828537531922
1012.1868	1.24067483058857
1012.5799	1.49001628762744
1012.973	1.4799621966178
1013.3662	1.6166978343488
1013.7595	1.94647201946472
1014.1528	2.33858156884036
1014.5463	2.730691118216
1014.9398	3.2032333956687
1015.3334	3.85876012949669
1015.7271	4.71939031992118
1016.1208	5.62023687438419
1016.5146	6.82471697733808
1016.9084	7.91458044278217
1017.3024	9.32416400233255
1017.6965	10.81418028996
1018.0906	12.424845669703
1018.4848	14.1018680501096
1018.879	16.0201886147473
1019.2734	17.8399790874907
1019.6678	19.8306891073978
1020.0623	21.7409663992278
1020.4569	23.7980334197985
1020.8516	25.7585811666767
1021.2463	27.9403189157668
1021.6411	29.8988558444431
1022.0359	32.0263015020812
1022.4309	34.0129898855844
1022.8259	36.074078542559
1023.2211	38.0688101988699
1023.6163	40.1942450383061
1024.0115	42.1065331483381
1024.4069	44.1917516237357
1024.8022	46.093985642758
1025.1978	48.1892582091653
1025.5934	50.2221954113129
1025.989	52.1284510667391
1026.3846	54.0186201765498
1026.7805	56.0596006515051
1027.1764	57.9115642154793
1027.5723	59.9083066899922
1027.9684	61.7381512537451
1028.3644	63.6484285455752
1028.7606	65.482294745732
1029.1569	67.2940419456677
1029.5532	68.9469345076512
1029.9496	70.6782489795098
1030.3461	72.2406547224065
1030.7427	73.811103738111
1031.1393	75.2669361163057
1031.536	76.8554824958276
1031.9329	78.1122438720315
1032.3297	79.3911242484567
1032.7266	80.5252257143432
1033.1237	81.8061169089703
1033.5208	82.7934286461161
1033.9178	83.9094327481852
1034.3152	84.7660413022059
1034.7125	85.7754720395729
1035.1099	86.5596911383242
1035.5073	87.4263537833544
1035.9049	88.0899237899901
1036.3025	88.8600671613279
1036.7002	89.4974965313386
1037.098	90.1590557197724
1037.4958	90.850777181235
1037.8938	91.5103255514669
1038.2919	92.135690012266
1038.6899	92.5780700166898
1039.0881	93.1089260219984
1039.4863	93.7101606643743
1039.8846	94.1062918501538
1040.2831	94.6311154008566
1040.6815	95.0976252237035
1041.0801	95.6123946833967
1041.4786	95.9703203233396
1041.8773	96.314170235869
1042.2761	96.6037280569464
1042.675	97.0722486979952
1043.074	97.2029518811204
1043.4729	97.5669099756691
1043.8721	97.679515794977
1044.2711	98.0173332529006
1044.6704	98.0515171623334
1045.0697	98.1480364360258
1045.4691	98.1319498904104
1045.8685	98.3189559831896
1046.2681	98.196296072872
1046.6677	98.2465665279202
1047.0674	98.1017876173815
1047.4672	98.1540688906316
1047.8671	97.9328788884197
1048.267	97.8303271601215
1048.667	97.5850073394864
1049.067	97.5669099756691
1049.4672	97.2512115179667
1049.8674	97.1486597896684
1050.2677	96.8269288773602
1050.6681	96.7062797852446
1051.0686	96.4066678731576
1051.4691	96.149283143311
1051.8696	95.7229896845026
1052.2704	95.5359835917235
1052.6711	95.1559389515594
1053.072	95.1137117693189
1053.4729	94.4059037622409
1053.8739	94.1686272144135
1054.2749	93.7342904827975
1054.676	93.2416400233255
1055.0773	92.6383945627476
1055.4786	92.161830648891
1055.88	91.5565743701112
1056.2814	90.9995777281776
1056.683	90.2756831754841
1057.0846	89.7649353521948
1057.4862	88.749472160222
1057.8879	87.848625605759
1058.2898	86.8512597776035
1058.6918	86.101224588285
1059.0938	85.19836721562
1059.4957	84.134644386801
1059.8979	82.823590919145
1060.3	82.0273069111822
1060.7024	80.8690756268726
1061.1047	79.5560113410147
1061.5072	78.5867969676862
1061.9097	77.5592688665018
1062.3123	76.9580342241258
1062.715	75.6489915746717
1063.1177	74.7360801109972
1063.5205	73.5496973718606
1063.9235	72.3291307232913
1064.3264	70.5877621604231
1064.7295	69.5340934226137
1065.1326	68.5869980495063
1065.5358	66.9682893969556
