waveform	[0]
t0	12/31/1903  16:00:00.000000
delta t	0.031250

time	Y[0]
12/31/1903  16:00:03.937500	-1.068677E-1
12/31/1903  16:00:03.968750	-1.152271E-1
12/31/1903  16:00:04.000000	-1.130005E-1
12/31/1903  16:00:04.031250	-1.044678E-1
12/31/1903  16:00:04.062500	-1.111670E-1
12/31/1903  16:00:04.093750	-1.059106E-1
12/31/1903  16:00:04.125000	-8.564453E-2
12/31/1903  16:00:04.156250	-1.064404E-1
12/31/1903  16:00:04.187500	-1.044434E-1
12/31/1903  16:00:04.218750	-8.777100E-2
12/31/1903  16:00:04.250000	-1.071216E-1
12/31/1903  16:00:04.281250	-9.568848E-2
12/31/1903  16:00:04.312500	-7.157227E-2
12/31/1903  16:00:04.343750	-9.623779E-2
12/31/1903  16:00:04.375000	-9.613525E-2
12/31/1903  16:00:04.406250	-7.753174E-2
12/31/1903  16:00:04.437500	-9.784668E-2
12/31/1903  16:00:04.468750	-9.069336E-2
12/31/1903  16:00:04.500000	-9.557373E-2
12/31/1903  16:00:04.531250	-1.196021E-1
12/31/1903  16:00:04.562500	-1.045142E-1
12/31/1903  16:00:04.593750	-1.009668E-1
12/31/1903  16:00:04.625000	-1.168335E-1
12/31/1903  16:00:04.656250	-1.184521E-1
12/31/1903  16:00:04.687500	-1.135498E-1
12/31/1903  16:00:04.718750	-9.945313E-2
12/31/1903  16:00:04.750000	-7.458984E-2
12/31/1903  16:00:04.781250	-8.119385E-2
12/31/1903  16:00:04.812500	-6.467285E-2
12/31/1903  16:00:04.843750	-4.545654E-2
12/31/1903  16:00:04.875000	-6.373535E-2
12/31/1903  16:00:04.906250	-5.198242E-2
12/31/1903  16:00:04.937500	-4.542725E-2
12/31/1903  16:00:04.968750	-6.498291E-2
12/31/1903  16:00:05.000000	-6.670654E-2
12/31/1903  16:00:05.031250	-7.368652E-2
12/31/1903  16:00:05.062500	-8.273437E-2
12/31/1903  16:00:05.093750	-8.552002E-2
12/31/1903  16:00:05.125000	-1.065869E-1
12/31/1903  16:00:05.156250	-1.313940E-1
12/31/1903  16:00:05.187500	-1.223145E-1
12/31/1903  16:00:05.218750	-1.196533E-1
12/31/1903  16:00:05.250000	-9.948730E-2
12/31/1903  16:00:05.281250	-9.517090E-2
12/31/1903  16:00:05.312500	-9.469727E-2
12/31/1903  16:00:05.343750	-8.341553E-2
12/31/1903  16:00:05.375000	-7.281006E-2
12/31/1903  16:00:05.406250	-7.875977E-2
12/31/1903  16:00:05.437500	-7.729004E-2
12/31/1903  16:00:05.468750	-6.241455E-2
12/31/1903  16:00:05.500000	-5.086426E-2
12/31/1903  16:00:05.531250	-4.411621E-2
12/31/1903  16:00:05.562500	-5.211914E-2
12/31/1903  16:00:05.593750	-5.613525E-2
12/31/1903  16:00:05.625000	-4.423828E-2
12/31/1903  16:00:05.656250	-4.935791E-2
12/31/1903  16:00:05.687500	-5.758057E-2
12/31/1903  16:00:05.718750	-6.378418E-2
12/31/1903  16:00:05.750000	-6.687744E-2
12/31/1903  16:00:05.781250	-7.823486E-2
12/31/1903  16:00:05.812500	-7.770996E-2
12/31/1903  16:00:05.843750	-8.441895E-2
12/31/1903  16:00:05.875000	-1.094385E-1
12/31/1903  16:00:05.906250	-1.035840E-1
12/31/1903  16:00:05.937500	-1.008228E-1
12/31/1903  16:00:05.968750	-1.177930E-1
12/31/1903  16:00:06.000000	-1.147266E-1
12/31/1903  16:00:06.031250	-1.201221E-1
12/31/1903  16:00:06.062500	-1.265234E-1
12/31/1903  16:00:06.093750	-1.034009E-1
12/31/1903  16:00:06.125000	-7.734375E-2
12/31/1903  16:00:06.156250	-7.901367E-2
12/31/1903  16:00:06.187500	-7.464111E-2
12/31/1903  16:00:06.218750	-6.382568E-2
12/31/1903  16:00:06.250000	-6.012207E-2
12/31/1903  16:00:06.281250	-4.710938E-2
12/31/1903  16:00:06.312500	-5.582764E-2
12/31/1903  16:00:06.343750	-5.985596E-2
12/31/1903  16:00:06.375000	-5.563477E-2
12/31/1903  16:00:06.406250	-7.165527E-2
12/31/1903  16:00:06.437500	-9.631592E-2
12/31/1903  16:00:06.468750	-8.475342E-2
12/31/1903  16:00:06.500000	-8.936768E-2
12/31/1903  16:00:06.531250	-1.052686E-1
12/31/1903  16:00:06.562500	-1.018262E-1
12/31/1903  16:00:06.593750	-1.013403E-1
12/31/1903  16:00:06.625000	-1.129297E-1
12/31/1903  16:00:06.656250	-1.048779E-1
12/31/1903  16:00:06.687500	-1.076001E-1
12/31/1903  16:00:06.718750	-1.094531E-1
12/31/1903  16:00:06.750000	-1.011377E-1
12/31/1903  16:00:06.781250	-9.012207E-2
12/31/1903  16:00:06.812500	-9.219971E-2
12/31/1903  16:00:06.843750	-7.291992E-2
12/31/1903  16:00:06.875000	-7.212158E-2
12/31/1903  16:00:06.906250	-9.062988E-2
12/31/1903  16:00:06.937500	-7.701660E-2
12/31/1903  16:00:06.968750	-7.114258E-2
12/31/1903  16:00:07.000000	-8.793213E-2
12/31/1903  16:00:07.031250	-8.419434E-2
12/31/1903  16:00:07.062500	-9.266357E-2
12/31/1903  16:00:07.093750	-9.650635E-2
12/31/1903  16:00:07.125000	-8.800049E-2
12/31/1903  16:00:07.156250	-1.035034E-1
12/31/1903  16:00:07.187500	-1.043774E-1
12/31/1903  16:00:07.218750	-8.769531E-2
12/31/1903  16:00:07.250000	-9.514404E-2
12/31/1903  16:00:07.281250	-9.263428E-2
12/31/1903  16:00:07.312500	-8.744629E-2
12/31/1903  16:00:07.343750	-8.986572E-2
12/31/1903  16:00:07.375000	-7.224121E-2
12/31/1903  16:00:07.406250	-6.750000E-2
12/31/1903  16:00:07.437500	-7.248779E-2
12/31/1903  16:00:07.468750	-7.414307E-2
12/31/1903  16:00:07.500000	-7.395996E-2
12/31/1903  16:00:07.531250	-7.803711E-2
12/31/1903  16:00:07.562500	-8.900391E-2
12/31/1903  16:00:07.593750	-9.509521E-2
12/31/1903  16:00:07.625000	-9.674072E-2
12/31/1903  16:00:07.656250	-8.984863E-2
12/31/1903  16:00:07.687500	-7.812256E-2
12/31/1903  16:00:07.718750	-8.943604E-2
12/31/1903  16:00:07.750000	-8.689697E-2
12/31/1903  16:00:07.781250	-7.796143E-2
12/31/1903  16:00:07.812500	-8.469482E-2
12/31/1903  16:00:07.843750	-7.829834E-2
12/31/1903  16:00:07.875000	-6.968262E-2
12/31/1903  16:00:07.906250	-7.673340E-2
12/31/1903  16:00:07.937500	-7.757324E-2
12/31/1903  16:00:07.968750	-7.976807E-2
12/31/1903  16:00:08.000000	-9.093994E-2
12/31/1903  16:00:08.031250	-8.927002E-2
12/31/1903  16:00:08.062500	-8.448242E-2
12/31/1903  16:00:08.093750	-9.537354E-2
12/31/1903  16:00:08.125000	-1.008447E-1
12/31/1903  16:00:08.156250	-1.003882E-1
12/31/1903  16:00:08.187500	-9.779785E-2
12/31/1903  16:00:08.218750	-8.367920E-2
12/31/1903  16:00:08.250000	-9.001953E-2
12/31/1903  16:00:08.281250	-7.765869E-2
12/31/1903  16:00:08.312500	-6.211670E-2
12/31/1903  16:00:08.343750	-7.609131E-2
12/31/1903  16:00:08.375000	-7.597900E-2
12/31/1903  16:00:08.406250	-7.186035E-2
12/31/1903  16:00:08.437500	-8.958496E-2
12/31/1903  16:00:08.468750	-8.178711E-2
12/31/1903  16:00:08.500000	-7.019531E-2
